Make,Fuel,EngineCylinders,AvgMPG
Acura,Gasoline,4,30
Acura,Gasoline,6,24.5
Alfa Romeo,Gasoline,4,28.5
Alfa Romeo,Gasoline,6,20.5
Aston Martin,Gasoline,12,15.5
Audi,Gasoline,4,26.5
Audi,Gasoline,6,23
Audi,Gasoline,8,21.5
Audi,Gasoline,10,18
Audi,Gasoline,4,28
Bentley,Gasoline,8,17.5
Bentley,Gasoline,12,16
BMW,Diesel,4,35.5
BMW,Diesel,6,26
BMW,Electricity,0,121
BMW,Gasoline,2,34.5
BMW,Gasoline,3,28.5
BMW,Gasoline,4,27.5
BMW,Gasoline,6,23.5
BMW,Gasoline,8,19
BMW,Gasoline,12,16.5
Buick,Gasoline,4,23.5
Buick,Gasoline,4,27
Buick,Gasoline,6,22
Cadillac,Gasoline,4,26
Cadillac,Gasoline,6,21
Cadillac,Gasoline,8,17.5
Cadillac,Gasoline,4,27
Cadillac,Gasoline,6,22
Cadillac,Gasoline,8,18
Chevrolet,Diesel,4,25
Chevrolet,Electricity,0,119
Chevrolet,Gasoline,4,26
Chevrolet,Gasoline,8,19
Chevrolet,Gasoline,4,30.5
Chevrolet,Gasoline,6,20.5
Chevrolet,Gasoline,8,18
Chrysler,Gasoline,8,20.5
Chrysler,Gasoline,4,29.5
Chrysler,Gasoline,6,24.5
Dodge,Gasoline,8,19.5
Dodge,Gasoline,8,18.5
Dodge,Gasoline,10,15.5
Dodge,Gasoline,4,22
Dodge,Gasoline,6,22.5
Ferrari,Gasoline,8,19
Ferrari,Gasoline,12,14
Fiat,Electricity,0,112
Fiat,Gasoline,4,30
Fiat,Gasoline,4,26
Ford,Electricity,0,107
Ford,Gasoline,4,22
Ford,Gasoline,6,14.5
Ford,Gasoline,8,17.5
Ford,Gasoline,3,34.5
Ford,Gasoline,4,27.5
Ford,Gasoline,6,20
Ford,Gasoline,8,18.5
Genesis,Gasoline,6,20.5
Genesis,Gasoline,8,19
Genesis,Gasoline,6,22
GMC,Diesel,4,25
GMC,Gasoline,4,23.5
GMC,Gasoline,6,20
GMC,Gasoline,8,18
Honda,Gasoline,4,34
Honda,Gasoline,4,33
Honda,Gasoline,6,23.5
Hyundai,Electricity,0,136
Hyundai,Gasoline,4,30.5
Hyundai,Gasoline,6,21.5
Infiniti,Gasoline,4,26
Infiniti,Gasoline,6,23.5
Infiniti,Gasoline,8,18.5
Infiniti,Gasoline,4,26
Jaguar,Diesel,4,34.5
Jaguar,Gasoline,4,25.5
Jaguar,Gasoline,6,22
Jaguar,Gasoline,8,19
Jeep,Gasoline,6,23
Jeep,Gasoline,8,18
Jeep,Gasoline,4,27.5
Jeep,Gasoline,8,16
Jeep,Gasoline,4,24
Jeep,Gasoline,6,19.5
Kia,Electricity,0,106
Kia,Gasoline,8,19
Kia,Gasoline,4,30
Kia,Gasoline,6,21.5
Lamborghini,Gasoline,10,17.5
Lamborghini,Gasoline,12,13.5
Land Rover,Diesel,6,25
Land Rover,Gasoline,4,23.5
Land Rover,Gasoline,6,20
Land Rover,Gasoline,8,16.5
Lexus,Gasoline,4,26
Lexus,Gasoline,6,24.5
Lexus,Gasoline,8,19
Lexus,Gasoline,4,37.5
Lexus,Gasoline,6,24
Lincoln,Gasoline,4,26
Lincoln,Gasoline,6,20
Lotus,Gasoline,6,20.5
Maserati,Gasoline,6,20
Maserati,Gasoline,8,17
Mazda,Gasoline,4,30
Mazda,Gasoline,4,31
McLaren Automotive,Gasoline,8,19.5
Mercedes-Benz,Electricity,0,83.5
Mercedes-Benz,Gasoline,4,26.5
Mercedes-Benz,Gasoline,6,22
Mercedes-Benz,Gasoline,8,19
Mercedes-Benz,Gasoline,12,16.5
MINI,Gasoline,4,28.5
Mitsubishi,Electricity,0,111.5
Mitsubishi,Gasoline,6,23.5
Mitsubishi,Gasoline,3,38.5
Mitsubishi,Gasoline,4,27.5
Nissan,Electricity,0,112.5
Nissan,Gasoline,4,28.5
Nissan,Gasoline,6,22
Nissan,Gasoline,4,29.5
Nissan,Gasoline,6,21.5
Nissan,Gasoline,8,17
Porsche,Gasoline,4,24
Porsche,Gasoline,6,22.5
Porsche,Gasoline,8,17.5
Ram,Gasoline,8,17.5
Ram,Gasoline,4,24.5
Ram,Gasoline,6,20.5
Rolls-Royce,Gasoline,12,15.5
Roush Performance,Gasoline,8,18.5
smart,Gasoline,3,35.5
Subaru,Gasoline,4,24
Subaru,Gasoline,4,29
Subaru,Gasoline,6,24
Tesla,Electricity,0,95
Toyota,Gasoline,4,26.5
Toyota,Gasoline,4,33.5
Toyota,Gasoline,6,22.5
Toyota,Gasoline,8,15.5
Volkswagen,Gasoline,4,24.5
Volkswagen,Gasoline,4,28.5
Volkswagen,Gasoline,6,21.5
Volvo,Gasoline,4,25.5
Volvo,Gasoline,4,27.5
